timestamp,gasLevel,temperature,humidity,heartRate,lat,lng,status
2026-03-07T21:21:26.002880,3.16,20.35,49.78,82,34.001606,-118.179471,Safe
2026-03-07T21:21:31.267719,1.92,27.76,75.46,78,34.039714,-118.162077,Safe
2026-03-07T21:21:36.471265,0.74,20.59,59.53,83,34.032654,-118.195457,Safe
2026-03-07T21:21:41.705188,0.94,24.14,77.09,69,34.022009,-118.163942,Safe
2026-03-07T21:21:46.936326,2.03,29.34,55.04,71,34.016945,-118.172781,Safe
2026-03-07T21:21:52.199394,5.85,36.35,71.84,129,34.018572,-118.160125,Warning
2026-03-07T21:21:57.659680,3.32,28.0,59.77,81,34.015142,-118.185859,Safe
2026-03-07T21:22:02.963943,2.94,21.96,58.81,86,34.008451,-118.178889,Safe
2026-03-07T21:22:08.209979,2.57,22.53,59.28,81,34.02513,-118.19297,Safe
2026-03-07T21:22:13.464894,3.95,21.15,70.66,88,34.01077,-118.172287,Safe
2026-03-07T21:22:18.703876,1.58,22.32,49.34,75,34.023695,-118.180015,Safe
2026-03-07T21:22:23.941065,0.85,27.56,30.62,63,34.003162,-118.181679,Safe
2026-03-07T21:22:29.177292,3.75,22.9,67.7,60,34.029607,-118.159624,Warning
2026-03-07T21:22:34.745364,3.48,24.12,46.09,77,34.04876,-118.16039,Safe
2026-03-07T21:22:40.285136,3.21,22.79,57.63,76,34.026604,-118.17487,Safe
2026-03-07T21:22:45.541417,2.83,29.77,74.54,71,34.006982,-118.170206,Safe
2026-03-07T21:22:50.860683,1.44,27.18,54.28,71,34.026417,-118.160735,Safe
2026-03-07T21:22:56.190197,0.18,24.22,38.36,74,34.045273,-118.186986,Safe
2026-03-07T21:23:01.731969,0.67,24.77,55.51,87,34.006987,-118.191131,Safe
2026-03-07T21:23:06.966064,1.11,20.35,38.64,63,34.014403,-118.167818,Safe
2026-03-07T21:23:12.299083,0.26,23.83,79.45,67,34.045294,-118.186727,Safe
2026-03-07T21:23:17.557044,1.2,22.91,65.06,74,34.011706,-118.159399,Safe
2026-03-07T21:23:22.826068,1.67,29.9,47.99,74,34.028453,-118.159058,Safe
2026-03-07T21:23:28.073400,0.41,29.24,72.73,64,34.02434,-118.185737,Warning
2026-03-07T21:23:33.669068,2.33,29.35,62.41,86,34.010291,-118.19016,Safe
2026-03-07T21:23:38.915872,1.09,27.86,67.19,69,34.033781,-118.166333,Safe
2026-03-07T21:23:44.145237,0.38,25.67,30.27,78,34.00448,-118.173473,Warning
2026-03-07T21:23:49.789063,2.68,22.97,74.69,66,34.03536,-118.182297,Safe
2026-03-07T21:23:55.008769,3.92,26.35,52.42,66,34.047477,-118.181392,Safe
2026-03-07T21:24:00.353657,1.54,27.69,38.03,75,34.040804,-118.160111,Safe
2026-03-07T21:24:06.443871,1.45,22.18,75.25,79,34.021911,-118.1564,Safe
2026-03-07T21:24:11.663391,0.28,23.89,66.45,75,34.047372,-118.199368,Safe
2026-03-07T21:24:17.841139,0.52,26.08,34.43,61,34.027749,-118.189016,Safe
2026-03-07T21:24:23.089931,0.31,20.83,64.68,71,34.003812,-118.196206,Warning
2026-03-07T21:24:28.609827,2.89,23.0,67.96,87,34.018465,-118.155275,Safe
2026-03-07T21:24:33.864699,1.59,20.84,36.12,89,34.01229,-118.18981,Safe
2026-03-07T21:24:40.105784,3.36,21.38,48.98,63,34.002976,-118.178834,Safe
2026-03-07T21:24:45.330225,1.37,23.46,69.6,69,34.013392,-118.177401,Safe
2026-03-07T21:24:50.585233,2.45,20.22,75.74,74,34.013106,-118.17703,Safe
2026-03-07T21:24:55.809655,7.96,36.93,34.12,115,34.048482,-118.153899,Warning
2026-03-07T21:25:01.332366,0.26,20.92,45.48,76,34.046359,-118.163017,Safe
2026-03-07T21:25:06.584931,0.17,22.32,31.93,67,34.046795,-118.197501,Warning
2026-03-07T21:25:12.100468,2.8,26.76,57.43,74,34.000926,-118.19645,Safe
2026-03-07T21:25:17.335117,0.33,24.33,78.87,60,34.037991,-118.18641,Warning
2026-03-07T21:25:22.994569,0.59,28.13,44.18,79,34.048009,-118.189648,Safe
2026-03-07T21:25:28.262770,0.66,22.42,46.06,84,34.005337,-118.184472,Safe
2026-03-07T21:25:33.479684,6.13,40.93,48.48,111,34.00365,-118.156955,Warning
2026-03-07T21:25:38.954665,1.7,28.94,64.45,71,34.009409,-118.158746,Safe
2026-03-07T21:25:44.166086,3.57,22.43,34.67,69,34.048965,-118.191773,Safe
2026-03-07T21:25:49.474374,0.42,24.58,69.07,68,34.010046,-118.178204,Safe
2026-03-07T21:25:54.730163,2.9,22.46,37.77,65,34.017825,-118.187019,Safe
2026-03-07T21:25:59.985647,0.92,21.01,75.16,72,34.043364,-118.197262,Safe
2026-03-07T21:26:05.234774,9.01,42.32,76.58,149,34.038964,-118.194053,Danger
2026-03-07T21:26:10.730906,1.98,20.71,67.09,74,34.04313,-118.155753,Safe
2026-03-07T21:26:15.973230,3.59,27.17,31.35,88,34.024917,-118.161893,Safe
2026-03-07T21:26:22.155214,2.24,27.44,43.14,69,34.029872,-118.162736,Safe
2026-03-07T21:26:27.389707,2.94,21.57,76.31,88,34.000255,-118.152993,Safe
2026-03-07T21:26:32.637746,1.01,25.23,52.73,87,34.042118,-118.169135,Safe
2026-03-07T21:26:37.849310,0.04,22.13,75.03,85,34.025213,-118.162443,Warning
2026-03-07T21:26:43.512856,3.38,21.72,34.09,61,34.020863,-118.186412,Safe
2026-03-07T21:26:48.846511,3.58,25.85,39.85,60,34.001203,-118.172786,Safe
2026-03-07T21:26:54.048822,1.94,24.54,53.42,76,34.014476,-118.166572,Safe
2026-03-07T21:26:59.323303,1.53,27.4,42.59,79,34.039034,-118.155957,Safe
2026-03-07T21:27:04.560045,3.48,22.02,60.45,76,34.004037,-118.193612,Safe
2026-03-07T21:27:09.796202,11.13,42.86,42.32,118,34.013575,-118.189926,Danger
2026-03-07T21:27:15.359671,1.69,26.22,60.31,67,34.038468,-118.195237,Safe
2026-03-07T21:27:20.632840,3.31,25.79,78.84,68,34.044122,-118.18988,Safe
2026-03-07T21:27:25.850291,3.09,20.29,58.07,67,34.046112,-118.19796,Safe
2026-03-07T21:27:31.093296,3.72,25.35,57.75,73,34.017557,-118.151832,Safe
2026-03-07T21:27:36.457194,2.98,25.04,44.2,86,34.002569,-118.199239,Safe
2026-03-07T21:27:41.716330,3.17,22.46,71.84,66,34.000096,-118.155955,Safe
2026-03-07T21:27:46.962443,0.37,23.32,55.71,70,34.021057,-118.169256,Safe
2026-03-07T21:27:52.249617,2.33,22.84,45.69,79,34.016158,-118.184767,Safe
2026-03-07T21:27:57.475878,2.05,22.01,32.95,71,34.034154,-118.174296,Safe
2026-03-07T21:28:02.693488,1.52,28.54,73.45,68,34.013274,-118.172983,Safe
2026-03-07T21:28:07.962747,0.94,26.45,71.21,78,34.000197,-118.192576,Safe
2026-03-07T21:28:13.194912,3.97,28.73,59.75,88,34.024696,-118.187665,Safe
2026-03-07T21:28:18.415626,3.86,22.73,77.79,89,34.039476,-118.176428,Safe
2026-03-07T21:28:23.669950,3.12,22.73,57.85,65,34.002933,-118.162137,Safe
